date,city,station_id,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,home_team,away_team,home_score,away_score,competition,stadium,country,neutral,world_cup
2022-03-20,Saint-Denis,7149,Spring,7.8,2.3,13.7,0.0,11.3,France,England,25,13,2022 Six Nations Championship,Stade de France,France,False,False
2022-07-02,San Salvador de Jujuy,87046,Winter,13.6,5.7,22.9,0.0,12.4,Argentina,Scotland,26,18,2022 Scotland tour of Argentina,Estadio 23 de Agosto,Argentina,False,False
2022-07-02,Auckland,93110,Winter,10.3,8.5,14.8,0.5,11.7,New Zealand,Ireland,42,19,2022 Ireland rugby union tour of New Zealand,Eden Park,New Zealand,False,False
2022-07-02,Pretoria,68263,Winter,13.1,2.3,17.9,0.0,8.2,South Africa,Wales,32,29,2022 Wales tour of South Africa,Loftus Versfeld Stadium,South Africa,False,False
2022-07-02,Perth,94614,Winter,12.2,7.0,19.3,0.0,12.1,Australia,England,30,28,2022 England tour of Australia,Perth Stadium,Australia,False,False
2022-07-09,Bloemfontein,68442,Winter,7.1,-4.0,19.0,0.0,6.9,South Africa,Wales,12,13,2022 Wales tour of South Africa,Free State Stadium,South Africa,False,False
2022-07-09,Brisbane,94576,Winter,11.2,8.3,19.6,0.0,9.6,Australia,England,17,25,2022 England tour of Australia,Lang Park,Australia,False,False
2022-07-09,Salta,87047,Winter,15.4,3.6,29.0,0.0,9.6,Argentina,Scotland,6,29,2022 Scotland tour of Argentina,Estadio Padre Ernesto Martearena,Argentina,False,False
2022-07-16,Sydney,94767,Winter,12.8,4.9,16.5,0.0,15.0,Australia,England,17,21,2022 England tour of Australia,Sydney Cricket Ground,Australia,False,False
2022-07-16,Wellington,93439,Winter,7.4,4.7,10.6,8.9,14.2,New Zealand,Ireland,22,32,2022 Ireland rugby union tour of New Zealand,Sky Stadium,New Zealand,False,False
2022-07-16,Cape Town,68816,Winter,16.8,6.0,27.7,0.0,9.5,South Africa,Wales,30,14,2022 Wales tour of South Africa,Cape Town Stadium,South Africa,False,False
2022-08-06,Mendoza,87420,Winter,9.6,5.9,16.8,0.7,7.7,Argentina,Australia,26,41,2022 Rugby Championship,Estadio Malvinas Argentinas,Argentina,False,False
2022-08-13,San Juan,87311,Winter,13.7,2.2,24.6,0.0,5.9,Argentina,Australia,48,17,2022 Rugby Championship,Estadio San Juan del Bicentenario,Argentina,False,False
2022-08-13,San Juan,78526,Summer,28.8,26.1,32.2,0.0,12.6,Argentina,Australia,48,17,2022 Rugby Championship,Estadio San Juan del Bicentenario,Argentina,False,False
2022-08-27,Christchurch,93781,Winter,8.0,1.7,11.4,0.3,10.2,New Zealand,Argentina,18,25,2022 Rugby Championship,Rugby League Park,New Zealand,False,False
2022-08-27,Adelaide,95678,Winter,8.8,7.6,13.4,0.0,13.4,Australia,South Africa,25,17,2022 Rugby Championship,Adelaide Oval,Australia,False,False
